City,AutobusStopDensity
Torino,24.4 
Vercelli,2.1 
Novara,3.8 
Biella,4.1 
Cuneo,6.3 
Verbania,2.2 
Asti,1.9 
Alessandria,2.1 
Aosta,19.0 
Imperia,8.2 
Savona,6.1 
Genova,1.0 
La Spezia,1.5 
Varese,75.0 
Como,12.4 
Lecco,23.0 
Sondrio,121.0 
Milano,2.0 
Monza,4.6 
Bergamo,9.4 
Brescia,6.4 
Pavia,5.4 
Lodi,14.7 
Cremona,13.6 
Mantova,8.3 
Bolzano - Bozen,6.8 
Trento,2.6 
Verona,4.4 
Vicenza,6.6 
Belluno,2.6 
Treviso,4.9 
Venezia,1.5 
Padova,1.8 
Rovigo,13.3 
Pordenone,13.3 
Udine,5.0 
Gorizia,61.3 
Trieste,10.3 
Piacenza,4.1 
Parma,4.3 
Reggio nell'Emilia,2.8 
Modena,5.4 
Bologna,10.7 
Ferrara,1.7 
Ravenna,1.0 
Forlì,2.4 
Rimini,9.3 
Massa,4.2 
Lucca,4.1 
Pistoia,5.4 
Firenze,23.7 
Prato,8.6 
Livorno,5.8 
Pisa,4.4 
Arezzo,2.1 
Siena,7.6 
Grosseto,1.0 
Perugia,2.8 
Terni,2.7 
Pesaro,5.5 
Ancona,6.7 
Macerata,4.8 
Fermo,5.6 
Ascoli Piceno,4.2 
Viterbo,0.9 
Rieti,2.6 
Roma,6.6 
Latina,13.3 
Frosinone,3.2 
L'Aquila,2.1 
Teramo,1.4 
Pescara,24.7 
Chieti,16.3 
Isernia,2.0 
Campobasso,9.1 
Caserta,2.1 
Benevento,2.8 
Napoli,24.6 
Avellino,19.9 
Salerno,6.6 
Foggia,1.5 
Andria,0.6 
Barletta,2.2 
Trani,0.9 
Bari,26.1 
Taranto,3.6 
Brindisi,1.1 
Lecce,1.8 
Potenza,1.4 
Matera,0.8 
Cosenza,8.3 
Crotone,0.6 
Catanzaro,4.0 
Vibo Valentia,1.6 
Reggio di Calabria,5.0 
Trapani,2.3 
Palermo,14.2 
Messina,6.2 
Agrigento,1.3 
Caltanissetta,0.6 
Enna,0.5 
Catania,18.7 
Ragusa,0.7 
Siracusa,2.0 
Sassari,1.4 
Nuoro,1.5 
Oristano,1.2 
Cagliari,12.6 
Olbia,1.8 
Tempio Pausania,0.4 
Lanusei,1.1 
Tortolì,2.4 
Carbonia,0.8 
Iglesias,0.7 