City,NoiseControl,ExposedNoisePollution
Torino, 127, 14.9 
Vercelli, 4, 8.8 
Novara, 15, 14.7 
Biella, 4, 9.3 
Cuneo, 2, 3.6 
Verbania, 13, 43.5 
Asti, 27, 36.5 
Alessandria, 16, 17.6 
Aosta, 2, 6.0 
Imperia, 7, 16.7 
Savona, 3, 5.1 
Genova, 90, 16.0 
La Spezia, 15, 16.3 
Varese, 4, 5.1 
Como, 1, 1.2 
Lecco, 6, 12.7 
Sondrio, 2, 9.4 
Milano, 216, 15.9 
Monza, 15, 12.3 
Bergamo, 23, 19.2 
Brescia, 40, 20.3 
Pavia, 2, 2.8 
Lodi, 3, 6.7 
Cremona, 7, 9.9 
Mantova, 16, 32.9 
Bolzano - Bozen, 14, 13.1 
Trento, 25, 21.1 
Verona, 60, 23.3 
Vicenza, 22, 19.9 
Belluno, 2, 5.6 
Treviso, 8, 9.5 
Venezia, 30, 11.8 
Padova, 36, 17.3 
Rovigo, 3, 6.0 
Pordenone, 3, 5.8 
Udine, 22, 22.5 
Gorizia, 5, 14.8 
Trieste, -, - 
Piacenza, 24, 23.4 
Parma, 12, 6.1 
Reggio nell'Emilia, 52, 30.5 
Modena, 89, 47.9 
Bologna, 67, 17.2 
Ferrara, 19, 14.5 
Ravenna, 35, 22.4 
Forlì, 28, 23.9 
Cesena, 6, 6.2 
Rimini, 26, 17.4 
Massa, 5, 7.5 
Lucca, 25, 28.0 
Pistoia, 29, 32.4 
Firenze, 179, 49.0 
Prato, 18, 9.1 
Livorno, 25, 16.1 
Pisa, 16, 17.9 
Arezzo, 6, 6.2 
Siena, 6, 11.2 
Grosseto, 11, 13.5 
Perugia, 9, 5.5 
Terni, 17, 15.8 
Pesaro, 7, 7.3 
Ancona, 21, 21.2 
Macerata, -, - 
Fermo, -, - 
Ascoli Piceno, 2, 4.3 
Viterbo, 2, 3.0 
Rieti, -, - 
Roma, 185, 6.7 
Latina, 5, 3.9 
Frosinone, 2, 4.5 
L'Aquila, 4, 5.8 
Teramo, 2, 3.8 
Pescara, 26, 21.9 
Chieti, 8, 16.4 
Isernia, -, - 
Campobasso, 3, 6.3 
Caserta, -, - 
Benevento, 1, 1.7 
Napoli, 34, 3.7 
Avellino, 3, 5.7 
Salerno, 10, 7.8 
Foggia, -, - 
Andria, 2, 2.1 
Barletta, -, - 
Trani, -, - 
Bari, 12, 3.8 
Taranto, 7, 3.7 
Brindisi, 4, 4.8 
Lecce, 6, 6.3 
Potenza, 5, 7.7 
Matera, -, - 
Cosenza, 5, 7.8 
Crotone, 3, 5.0 
Catanzaro, 3, 3.5 
Vibo Valentia, 4, 12.7 
Reggio di Calabria, 5, 2.9 
Trapani, 2, 3.3 
Palermo, 157, 24.7 
Messina, 21, 9.5 
Caltanissetta, 5, 8.4 
Enna, -, - 
Catania, 17, 5.7 
Ragusa, 12, 16.5 
Siracusa, 21, 17.9 
Sassari, 13, 10.6 
Nuoro, 2, 5.8 
Oristano, -, - 
Cagliari, 35, 23.4 
Carbonia, 3, 11.3 