City,GreenAreaDensity
Torino ,7.46
Vercelli,1.28
Novara,1.22
Biella,33.56
Cuneo,6.82
Verbania,9.55
Asti,17.14
Aosta,0.42
Imperia,1.11
Savona,7.82
Genova,26.26
La Spezia,24.16
Varese ,45.48
Como,19.38
Lecco,20.74
Sondrio,2.21
Monza ,22.33
Bergamo,31.50
Brescia,38.81
Pavia,18.72
Lodi,35.53
Cremona,27.51
Mantova ,21.25
Bolzano - Bozen ,0.11
Trento ,6.65
Verona,4.68
Vicenza,1.71
Belluno ,21.44
Treviso,10.36
Venezia,62.80
Padova,0.07
Rovigo,0.06
Pordenone,0.00
Udine,15.48
Gorizia,7.64
Trieste,33.44
Piacenza,17.71
Parma,2.31
Reggio nell'Emilia ,7.14
Modena,1.14
Bologna,26.54
Ferrara ,3.04
Ravenna,29.05
Forlì,3.17
Cesena,1.69
Rimini,0.63
Massa,33.99
Lucca,10.48
Pistoia,17.73
Firenze,10.91
Prato ,31.35
Livorno,29.71
Pisa,42.88
Arezzo,7.08
Siena,7.80
Grosseto,32.79
Perugia ,15.97
Terni,20.74
Pesaro,20.52
Ancona ,25.35
Ascoli Piceno,9.51
Viterbo,5.02
Rieti,19.19
Roma,32.24
Latina,4.44
Frosinone,0.01
L'Aquila ,50.09
Teramo,2.97
Pescara,1.79
Chieti,0.00
Isernia,19.73
Campobasso,3.67
Caserta,8.75
Benevento,0.00
Napoli ,24.06
Avellino,0.00
Salerno,0.05
Foggia,3.73
Andria,36.09
Barletta,29.29
Trani,0.00
Bari,1.94
Taranto,8.49
Brindisi,10.56
Lecce,12.78
Potenza,0.86
Matera ,25.04
Cosenza,0.00
Crotone,14.14
Catanzaro,0.00
Vibo Valentia,0.05
Reggio di Calabria,17.46
Trapani,5.07
Palermo,29.38
Messina,70.61
Agrigento,5.30
Caltanissetta,4.45
Enna,13.68
Catania,15.05
Ragusa,6.50
Siracusa,5.74
Sassari,2.63
Nuoro,11.24
Oristano,2.36
Cagliari,51.86
Carbonia,0.00