City,IndustrialNoise,CommercialNoise,TemporaryNoise,Infrastructure,Others,Total
Torino,19.0,31.0,0.0,0.0,50.0,100.0
Vercelli,0.0,75.0,0.0,25.0,0.0,100.0
Novara,50.0,50.0,0.0,0.0,0.0,100.0
Cuneo,50.0,50.0,0.0,0.0,0.0,100.0
Asti,13.8,69.0,10.3,6.9,0.0,100.0
Aosta,0.0,100.0,0.0,0.0,0.0,100.0
Genova,17.0,18.9,26.4,37.7,0.0,100.0
La Spezia,0.0,100.0,0.0,0.0,0.0,100.0
Como,100.0,0.0,0.0,0.0,0.0,100.0
Sondrio,0.0,100.0,0.0,0.0,0.0,100.0
Milano,0.0,77.2,9.4,13.4,0.0,100.0
Monza,9.1,90.9,0.0,0.0,0.0,100.0
Bergamo,0.0,14.3,85.7,0.0,0.0,100.0
Brescia,26.7,60.0,0.0,0.0,13.3,100.0
Pavia,0.0,100.0,0.0,0.0,0.0,100.
Mantova,50.0,50.0,0.0,0.0,0.0,100.0
Bolzano - Bozen ,0.0,100.0,0.0,0.0,0.0,100.0
Trento,0.0,50.0,50.0,0.0,0.0,100.0
Vicenza,0.0,100.0,0.0,0.0,0.0,100.0
Treviso,33.3,66.7,0.0,0.0,0.0,100.0
Venezia,0.0,85.7,0.0,14.3,0.0,100.0
Padova,8.3,83.3,0.0,0.0,8.3,100.0
Rovigo,50.0,50.0,0.0,0.0,0.0,100.0
Pordenone,50.0,50.0,0.0,0.0,0.0,100.0
Udine,0.0,100.0,0.0,0.0,0.0,100.0
Gorizia,0.0,0.0,0.0,100.0,0.0,100.0
Piacenza,0.0,75.0,0.0,25.0,0.0,100.0
Reggio nell'Emilia,37.5,62.5,0.0,0.0,0.0,100.0
Modena,9.1,9.1,0.0,81.8,0.0,100.0
Bologna,26.3,68.4,5.3,0.0,0.0,100.0
Ferrara,47.4,31.6,21.1,0.0,0.0,100.0
Ravenna,11.1,88.9,0.0,0.0,0.0,100.0
Forlì,22.2,55.6,0.0,22.2,0.0,100.0
Cesena,50.0,50.0,0.0,0.0,0.0,100.0
Rimini,0.0,50.0,0.0,50.0,0.0,100.0
Lucca,66.7,33.3,0.0,0.0,0.0,100.0
Pistoia,50.0,50.0,0.0,0.0,0.0,100.0
Firenze,0.0,100.0,0.0,0.0,0.0,100.0
Livorno,5.0,80.0,5.0,10.0,0.0,100.0
Pisa,0.0,100.0,0.0,0.0,0.0,100.0
Arezzo,25.0,50.0,25.0,0.0,0.0,100.0
Siena,0.0,100.0,0.0,0.0,0.0,100.0
Grosseto,10.0,60.0,10.0,10.0,10.0,100.0
Perugia,20.0,80.0,0.0,0.0,0.0,100.0
Terni,0.0,75.0,0.0,0.0,25.0,100.0
Pesaro,0.0,100.0,0.0,0.0,0.0,100.0
Ancona,20.0,80.0,0.0,0.0,0.0,100.0
Viterbo,25.0,75.0,0.0,0.0,0.0,100.0
Roma,16.1,64.5,3.2,16.1,0.0,100.0
Latina,40.0,60.0,0.0,0.0,0.0,100.0
Frosinone,50.0,50.0,0.0,0.0,0.0,100.0
L'Aquila,66.7,0.0,0.0,0.0,33.3,100.0
Teramo,50.0,0.0,0.0,0.0,50.0,100.0
Pescara,0.0,71.4,14.3,14.3,0.0,100.0
Chieti,25.0,75.0,0.0,0.0,0.0,100.0
Campobasso,100.0,0.0,0.0,0.0,0.0,100.0
Caserta,50.0,50.0,0.0,0.0,0.0,100.0
Napoli,0.0,100.0,0.0,0.0,0.0,100.0
Salerno,75.0,25.0,0.0,0.0,0.0,100.0
Andria,0.0,50.0,0.0,50.0,0.0,100.0
Brindisi,0.0,0.0,100.0,0.0,0.0,100.0
Lecce,0.0,66.7,16.7,16.7,0.0,100.0
Catanzaro,0.0,100.0,0.0,0.0,0.0,100.0
Vibo Valentia,50.0,50.0,0.0,0.0,0.0,100.0
Palermo,37.5,58.3,4.2,0.0,0.0,100.0
Messina,10.7,60.7,0.0,28.6,0.0,100.0
Caltanissetta,35.6,62.2,0.0,2.2,0.0,100.
Catania,0.0,100.0,0.0,0.0,0.0,100.0
Ragusa,33.3,66.7,0.0,0.0,0.0,100.0
Siracusa,75.0,0.0,12.5,0.0,12.5,100.0
Sassari,0.0,100.0,0.0,0.0,0.0,100.0
Carbonia,0.0,100.0,0.0,0.0,0.0,100.0