City,Door_to_door_Waste,Road_Waste
Torino,85.0,15.0
Vercelli,100.0,100.0
Novara,100.0,0.0
Biella,100.0,100.0
Cuneo,100.0,100.0
Verbania,100.0,100.0
Asti,95.0,5.0
Alessandria,16.0,84.0
Aosta,100.0,0.0
Imperia,90.0,10.0
Savona,0.0,100.0
Genova,1.0,99.0
La Spezia,100.0,99.0
Varese,100.0,0.0
Como,100.0,0.0
Lecco,100.0,0.0
Sondrio,100.0,100.0
Milano,100.0,0.0
Monza,100.0,0.0
Bergamo,100.0,0.0
Brescia,100.0,100.0
Pavia,90.0,10.0
Lodi,100.0,0.0
Cremona,100.0,10.0
Mantova,100.0,0.0
Bolzano - Bozen,100.0,100.0
Trento,93.4,6.6
Verona,25.0,75.0
Vicenza,30.0,70.0
Belluno,50.0,50.0
Treviso,100.0,0.0
Venezia,29.0,71.0
Padova,85.7,81.7
Rovigo,35.0,65.0
Pordenone,100.0,100.0
Udine,100.0,0.0
Gorizia,100.0,100.0
Trieste,1.0,100.0
Piacenza,100.0,100.0
Parma,100.0,100.0
Reggio nell'Emilia,100.0,61.0
Modena,25.0,75.0
Bologna,25.0,75.0
Ferrara,25.0,75.0
Ravenna,14.0,86.0
Forlì,100.0,100.0
Cesena,100.0,80.0
Rimini,50.0,50.0
Massa,70.0,30.0
Lucca,100.0,0.0
Pistoia,10.0,90.0
Firenze,13.4,86.6
Prato,100.0,100.0
Livorno,85.0,15.0
Pisa,66.0,34.0
Arezzo,22.0,78.0
Siena,25.0,75.0
Grosseto,0.1,99.9
Perugia,85.0,15.0
Terni,100.0,0.0
Pesaro,45.0,55.0
Ancona,81.0,19.0
Macerata,85.0,15.0
Fermo,71.0,29.0
Ascoli Piceno,80.0,20.0
Viterbo,84.0,86.0
Rieti,66.0,79.0
Roma,33.0,67.0
Latina,40.0,60.0
Frosinone,100.0,100.0
L'Aquila,70.0,30.0
Teramo,100.0,100.0
Pescara,60.0,40.0
Chieti,99.0,1.0
Isernia,86.5,13.5
Campobasso,50.0,50.0
Caserta,100.0,100.0
Benevento,87.2,12.8
Napoli,59.0,41.0
Avellino,100.0,0.0
Salerno,100.0,100.0
Foggia,0.0,100.0
Andria,100.0,0.0
Barletta,100.0,100.0
Trani,100.0,0.0
Bari,22.0,78.0
Taranto,21.0,79.0
Brindisi,100.0,100.0
Lecce,100.0,0.0
Potenza,70.0,30.0
Matera,100.0,0.0
Cosenza,100.0,0.0
Crotone,20.0,80.0
Catanzaro,100.0,100.0
Vibo Valentia,97.0,3.0
Reggio di Calabria,95.0,5.0
Trapani,100.0,0.0
Palermo,33.0,67.0
Messina,100.0,0.0
Agrigento,100.0,0.0
Caltanissetta,100.0,0.0
Enna,95.0,5.0
Catania,47.0,53.0
Ragusa,100.0,0.0
Siracusa,100.0,0.0
Sassari,42.0,58.0
Nuoro,100.0,0.0
Oristano,100.0,0.0
Cagliari,99.0,1.0
Carbonia,99.0,1.0